Rank,Channel,Mean_Drop,Std_Drop
1,Cz,0.015578356624133038,0.021063315801840597
2,P3,0.012821801497278951,0.014749294981231719
3,O1,0.01185739348534146,0.015012383449527515
4,T5,0.01077126864418182,0.013472022296611602
5,F7,0.010608927234329513,0.013755138833436618
6,T3,0.010268917757990704,0.02574615785063448
7,O2,0.009619803480564414,0.017408164228067076
8,F8,0.009040078433562193,0.009641977003738105
9,P4,0.00849490754035791,0.016734727231531583
10,Fz,0.006862404167325231,0.014836327792695846
11,C4,0.005877232583771907,0.013963897775080574
12,T6,0.0036103727065416426,0.01067160289490632
13,Pz,0.0017155212092744509,0.014543660282497038
14,F3,0.0016753480569144386,0.008814177762342664
15,F4,0.0011399653712237574,0.0103606330196899
16,T4,-0.00014791341636792853,0.011942235113100514
17,C3,-0.0005293972493876457,0.01220468889364738
18,Fp1,-0.0005325953452057034,0.007496619923342694
19,Fp2,-0.0013859914068997854,0.00859299677111189
